=========== TABLE 1
| 0x9 | 0xc | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0x9 | 0xd | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0x9 | 0xe | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0x9 | 0xf | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0xa | 0x0 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x1 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x2 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x3 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x4 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x5 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x6 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x7 | UNSET R_IND_OFFS_W U24 BYTE NON TBL2
| 0xa | 0x8 | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0x9 | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0xa | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0xb | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0xc | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0xd | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0xe | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xa | 0xf | UNSET R_IND_OFFS_W U24 WORD NON TBL2
| 0xb | 0x0 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x1 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x2 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x3 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x4 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x5 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x6 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x7 | UNSET R_INDIRECT_W U24 BYTE NON TBL2
| 0xb | 0x8 | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0x9 | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0xa | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0xb | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0xc | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0xd | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0xe | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xb | 0xf | UNSET R_INDIRECT_W U24 WORD NON TBL2
| 0xc | 0x0 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x1 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x2 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x3 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x4 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x5 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x6 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x7 | UNSET R_DIRECT_B U24 BYTE NON TBL2
| 0xc | 0x8 | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0x9 | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0xa | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0xb | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0xc | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0xd | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0xe | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xc | 0xf | UNSET R_DIRECT_W U24 WORD NON TBL2
| 0xd | 0x0 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x1 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x2 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x3 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x4 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x5 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x6 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x7 | UNSET V_IMM_3 U24 BYTE NON TBL3
| 0xd | 0x8 | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0x9 | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0xa | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0xb | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0xc | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0xd | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0xe | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xd | 0xf | UNSET V_IMM_3 U24 WORD NON TBL3
| 0xe | 0x0 | UNSET A_ABS_16 U24 BYTE NON TBL2
| 0xe | 0x1 | UNSET A_ABS_24 U24 BYTE NON TBL2
| 0xe | 0x2 | UNSET V_IMM_8 U24 BYTE NON TBL3
| 0xe | 0x4 | JSR A_ABS_16 U24 UNSET NON TERM
| 0xe | 0x5 | JMP A_ABS_16 U24 UNSET NON TERM
| 0xe | 0x6 | LINK FP U1F UNSET NON TERM
| 0xe | 0x7 | POP U24 BYTE NON TBL2
| 0xe | 0x8 | UNSET A_ABS_16 U24 WORD NON TBL2
| 0xe | 0x9 | UNSET A_ABS_24 U24 WORD NON TBL2
| 0xe | 0xa | UNSET V_IMM_16 U24 WORD NON TBL3
| 0xe | 0xc | PJSR A_ABS_24 U24 UNSET NON TERM
| 0xe | 0xd | PJMP A_ABS_24 U24 UNSET NON TERM
| 0xe | 0xe | LINK FP U20 UNSET NON TERM
| 0xe | 0xf | POP U24 WORD NON TBL2
| 0xf | 0x1 | TRAPE U24 UNSET NON TERM
| 0xf | 0x2 | TRAPA V_IMM_8 U24 UNSET NON TERM
| 0xf | 0x3 | UNSET U21 U24 UNSET NON TBL5
| 0xf | 0x5 | REIT U24 UNSET NON TERM
| 0xf | 0x6 | UNLK FP U24 UNSET NON TERM
| 0xf | 0x7 | LDM U16 U24 UNSET NON TERM
| 0xf | 0x8 | STM U15 U24 UNSET NON TERM
| 0xf | 0xa | RTS U24 UNSET NON TERM
| 0xf | 0xb | PRTS U24 UNSET NON TERM
| 0xf | 0xc | EI U24 UNSET NON TERM
| 0xf | 0xd | DI U24 UNSET NON TERM
| 0xf | 0xe | UNSET V_IMM_8 U24 WORD NON TBL3
| 0xf | 0xf | NOP U24 UNSET NON TERM
=========== TABLE 2
| 0x0 | 0x0 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x1 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x2 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x3 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x4 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x5 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x6 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x7 | XOR R_DIRECT U24 UNSET GR TERM
| 0x0 | 0x8 | BXOR BIT_MOD U24 UNSET NON TERM
| 0x0 | 0x9 | BXOR BIT_MOD U24 UNSET NON TERM
| 0x0 | 0xa | BXOR BIT_MOD U24 UNSET NON TERM
| 0x0 | 0xb | BXOR BIT_MOD U24 UNSET NON TERM
| 0x0 | 0xc | BXOR BIT_MOD U24 UNSET NON TERM
| 0x0 | 0xd | BXOR BIT_MOD U24 UNSET NON TERM
